,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'3kg Valencia Oranges'}),frozenset({'Banana Cavendish'}),0.010237951310655602,0.20284112765840523,0.003451118316205968,0.3370907139023081,1.6618459865298423,0.001374440727440738,1.2025157726092235
1,frozenset({'Banana Cavendish'}),frozenset({'3kg Valencia Oranges'}),0.20284112765840523,0.010237951310655602,0.003451118316205968,0.017013898295900953,1.6618459865298425,0.001374440727440738,1.006893227659576
2,frozenset({'Apples Fuji'}),frozenset({'Banana Cavendish'}),0.01974501291421663,0.20284112765840523,0.005654778260152773,0.2863902031728361,1.4118941581469204,0.001649677575003298,1.1170794962259556
3,frozenset({'Banana Cavendish'}),frozenset({'Apples Fuji'}),0.20284112765840523,0.01974501291421663,0.005654778260152773,0.02787786838611796,1.4118941581469204,0.001649677575003298,1.0083660840622972
4,frozenset({'Apples Fuji'}),frozenset({'Mandarin Imperial'}),0.01974501291421663,0.04346320822113535,0.002022311370006045,0.1024213748956304,2.3565074712046865,0.0011641297623864412,1.065685796236112
5,frozenset({'Mandarin Imperial'}),frozenset({'Apples Fuji'}),0.04346320822113535,0.01974501291421663,0.002022311370006045,0.046529270451384504,2.3565074712046865,0.0011641297623864412,1.0280913264635276
6,frozenset({'Apples Granny Smith'}),frozenset({'Banana Cavendish'}),0.021855250865527285,0.20284112765840523,0.007017640270374237,0.3210963037465426,1.582994077450038,0.002584496539553346,1.1741854945564898
7,frozenset({'Banana Cavendish'}),frozenset({'Apples Granny Smith'}),0.20284112765840523,0.021855250865527285,0.007017640270374237,0.03459673268131451,1.582994077450038,0.002584496539553346,1.0131980927008621
8,frozenset({'Apples Granny Smith'}),frozenset({'Pear Packham'}),0.021855250865527285,0.03493432983458812,0.0020772654833214267,0.09504651747548404,2.720719645275103,0.001313766940967429,1.0664257211024848
9,frozenset({'Pear Packham'}),frozenset({'Apples Granny Smith'}),0.03493432983458812,0.021855250865527285,0.0020772654833214267,0.05946201038225578,2.720719645275103,0.001313766940967429,1.0399843067817098
10,frozenset({'Banana Cavendish'}),frozenset({'Apples Pink Lady'}),0.20284112765840523,0.03637412760345112,0.014595812496565368,0.071956869225976,1.9782431625700032,0.007217643435890618,1.0383416895644144
11,frozenset({'Apples Pink Lady'}),frozenset({'Banana Cavendish'}),0.03637412760345112,0.20284112765840523,0.014595812496565368,0.4012690738782293,1.9782431625700032,0.007217643435890618,1.3314142255939982
12,frozenset({'Carrots 1kg'}),frozenset({'Apples Pink Lady'}),0.0375666318623949,0.03637412760345112,0.0024399626312029453,0.06495026331187828,1.785617074310695,0.0010735091702083206,1.030561086311453
